ID,Name,Default short code,Functional group,Sources using,Annotation count,MERMAID_BA,MERMAID_GF,Note
88,Porites rus,PorRus,Hard coral,268,224600,Porites rus,,
60,Astreopora,Astreo,Hard coral,340,29485,Astreopora,,
74,Porites,Porites,Hard coral,539,879770,Porites,,
58,Acanthastrea,Acanth,Hard coral,350,5265,Acanthastrea,,
1261,Anomastraea,Anoma,Hard coral,34,68,Anomastraea,,
87,Blastomussa,Blast,Hard coral,117,390,Blastomussa,,
61,Cyphastrea,Cypha,Hard coral,374,33673,Cyphastrea,,
69,Montastraea,Montastr,Hard coral,252,10400,Montastraea,,
77,Stylocoeniella,Styloc,Hard coral,245,1279,Stylocoeniella,,
73,Pocillopora,Pocill,Hard coral,586,493517,Pocillopora,,
70,Montipora,Monti,Hard coral,495,409974,Montipora,,
64,Gardineroseris,Gardineros,Hard coral,267,2541,Gardineroseris,,
67,Leptoseris,Leptoseris,Hard coral,319,10072,Leptoseris,,
72,Pavona,Pavona,Hard coral,453,81573,Pavona,,
78,Tubastrea,Tubastrea,Hard coral,240,1298,Tubastrea,,
94,Seagrass,Seagrass,Seagrass,375,1246572,Seagrass,,
81,Macroalgae,MAL,Algae,1045,2250265,Macroalgae,,
63,Fungia,Fungia,Hard coral,399,24423,Fungia,,
68,Lobophyllia,Lobophyl,Hard coral,361,17832,Lobophyllia,,
99,Echinopora,Echinopora,Hard coral,308,54654,Echinopora,,
204,Acropora (branching),Acr_bra,Hard coral,268,202244,Acropora,Branching,
66,Leptastrea,Lepta,Hard coral,395,29936,Leptastrea,,
92,Algae,Algae,Algae,475,392052,Macroalgae,,
79,Millepora,Millepora,Other Invertebrates,562,106440,Millepora,,
71,Pachyseris,Pachyseris,Hard coral,317,7293,Pachyseris,,
75,Psammocora,Psammo,Hard coral,354,13087,Psammocora,,
91,Hard coral,HC,Hard coral,572,473382,Hard coral,,
82,Turf algae,Turf,Algae,1140,14801991,Turf algae,,
95,Sediment,Sediment,Soft Substrate,182,521597,Bare substrate,,
80,Soft Coral,SC,Other Invertebrates,1031,461743,Soft coral,,
132,Porites cylindrica,PorCyl,Hard coral,80,54346,Porites cylindrica,,
130,Goniopora,Goniopora,Hard coral,335,17789,Goniopora,,
145,Sea cucumber,cucumber,Other Invertebrates,193,1675,Sea cucumber,,
134,Corallimorpharia,Collimorph,Other Invertebrates,190,7499,Corallimorpharia,,
138,Lobophora,Lobophora,Algae,289,109934,Lobophora,,
129,Acropora humilis,AcrHum,Hard coral,49,125,Acropora humilis,,
127,Acropora hyacinthus,AcrHya,Hard coral,31,1713,Acropora hyacinthus,,
126,Acropora millepora,AcrMille,Hard coral,34,5134,Acropora millepora,,
